title,abstract
A Multiple Case Study of Artificial Intelligent System Development in Industry,"There is a rapidly increasing amount of Artificial Intelligence (AI) systems developed in recent years, with much expectation on its capacity of innovation and business value generation. However, the promised value of AI systems in specific business ..."
A Bigram-based Inference Model for Retrieving Abbreviated Phrases in Source Code,"Expanding abbreviations in source code to their full meanings is very useful for software maintainers to comprehend the source code. The existing approaches, however, focus on expanding an abbreviation to a single word, i.e., unigram. They do not ..."
An Experimental Evaluation of Imbalanced Learning and Time-Series Validation in the Context of CI/CD Prediction,Background: Machine Learning (ML) has been widely used as a powerful tool to support Software Engineering (SE). The fundamental assumptions of data characteristics required for specific ML methods have to be carefully considered prior to their ...
Agile Islands in a Waterfall Environment: Challenges and Strategies in Automotive,"Driven by the need for faster time-to-market and reduced development lead-time, large-scale systems engineering companies are adopting agile methods in their organizations. This agile transformation is challenging and it is common that adoption starts ..."
Mining Questions Asked about Continuous Software Engineering: A Case Study of Stack Overflow,"Context: With the growing popularity of rapid software delivery and deployment, the methods, practices and technologies of Continuous Software Engineering (CSE) are evolving steadily. This creates the need for understanding the recent trends of the ..."
Automatic Identification of Decisions from the Hibernate Developer Mailing List,"Decisions run through the whole software development and maintenance processes. Explicitly documenting these decisions helps to organize development knowledge and to reduce its vaporization, thereby controlling the development process and maintenance ..."
Combining Network Analysis with Structural Matching for Design Pattern Detection,"Context: Design pattern detection is a very important research on software reuse, which can greatly help software maintenance and reconstruction. At present, many researchers have invested in this work and proposed a variety of methods for detection. ..."
A Multinomial Naïve Bayesian (MNB) Network to Automatically Recommend Topics for GitHub Repositories,"GitHub has become a precious service for storing and managing software source code. Over the last year, 10M new developers have joined the GitHub community, contributing to more than 44M repositories. In order to help developers increase the ..."
Observations on the Linear Order of Program Code Reading Patterns in Programmers with Dyslexia,The software engineering industry is increasingly aware of the role and value of neurodiverse engineers within the workforce. One motivation is the alignment between skills needed for software development and the processing strengths of individuals with ...
Feature Terms Prediction: A Feasible Way to Indicate the Notion of Features in Software Product Line,"In Software Product Lines (SPL), feature extraction from software requirements specifications has been subject to intense research in order to assist domain analysis in a time-saving way. Although various approaches are proposed to extract features, ..."
Exploring the Characteristics of Spectra Distribution and Their Impacts on Fault Localization,"Spectrum-Based Fault Localization (SBFL) follows the basic intuitions that the faulty parts are more likely to be covered by failure-revealing test cases and less likely to be covered by passed test cases. However, due to the diversity of programs and ..."
Using the Lexicon from Source Code to Determine Application Domain,"Context: The vast majority of software engineering research is reported independently of the application domain: techniques and tools usage is reported without any domain context. As reported in previous research, this has not always been so: early in ..."
Assessing software defection prediction performance: why using the Matthews correlation coefficient matters,"Context: There is considerable diversity in the range and design of computational experiments to assess classifiers for software defect prediction. This is particularly so, regarding the choice of classifier performance metrics. Unfortunately some ..."
Publication Bias: A Detailed Analysis of Experiments Published in ESEM,Background: Publication bias is the failure to publish the results of a study based on the direction or strength of the study findings. The existence of publication bias is firmly established in areas like medical research. Recent research suggests the ...
